umls_cui_from_meddra	side_effect_name
C0085273	Erythema Infectiosum
C0014742	Erythema Multiforme
C0014743	Erythema Nodosum
C0263358	Erythema annulare centrifugum
C0239488	Erythema facial
C0857751	Erythema multiforme minor
C0239454	Erythema of eyelid
C0877440	Erythema periorbital
C0014752	Erythrasma
C1527405	Erythrocytosis
C0748052	Erythrodermic psoriasis
C0014804	Erythromelalgia
C0221395	Erythropenia
C0702109	Erythropoiesis abnormal
C0271211	Erythropsia
C1112192	Erythrosis
C0521172	Eschar
C1096262	Escherichia bacteraemia
C0854453	Escherichia sepsis
C0014848	Esophageal Achalasia
C0014850	Esophageal Atresia
C0014852	Esophageal Diseases
C0014860	Esophageal Perforation
C0014866	Esophageal Stenosis
C0014867	Esophageal Varices
C0239293	Esophageal bleeding
C0152018	Esophageal carcinoma
C0341117	Esophageal erosions
C0014858	Esophageal motility disorders
C0014863	Esophageal spasm
C0014868	Esophagitis
C0085580	Essential Hypertension
C0270736	Essential Tremor
C0877035	Estrogen Effect
C0235146	Euphoric mood
C0271468	Eustachian tube disorder
C0302859	Euthyroid Goiter
C0272126	Evan's syndrome
C0852967	Exacerbation of acne
C0349790	Exacerbation of asthma
C0853762	Exacerbation of hot flushes
C0015230	Exanthema
C0423124	Excess skin of eyelid
C0235567	Excessive bronchial secretion
C0694563	Excessive daytime somnolence
C0426623	Excessive flatulence
C0263634	Excessive granulation tissue
C0152227	Excessive tearing
C1994994	Excessive thirst
C0235169	Excitability
C0541947	Excitation cerebral
C0015256	Excoriation
C0266453	Exencephaly
C0011606	Exfoliative dermatitis
C1608945	Exfoliative rash
C0392674	Exhaustion
C0015300	Exophthalmos
C1442903	Exostoses
C0152183	Explosive personality disorder
C0853402	Exposure to poisonous plant
C0522757	Exposure to toxic agent
C0236826	Expressive language disorder
C0162292	External Ophthalmoplegia
C1328552	Extrapulmonary pneumocystosis
C0015371	Extrapyramidal Disorders
C0234133	Extrapyramidal symptoms
C0015376	Extravasation
C0277794	Extreme exhaustion
C1167745	Extremity necrosis
C0002390	Extrinsic allergic alveolitis
C0015393	Eye Abnormalities
C0015395	Eye Burns
C0015402	Eye Hemorrhage
C0015403	Eye Infections
C0015408	Eye Injuries
C0015409	Eye Injuries, Penetrating
C0852875	Eye allergy
C0423008	Eye bleeding
C0015401	Eye foreign bodies
C0235266	Eye irritation
C0919866	Eye naevus
C0743680	Eye oedema
C0151827	Eye pain
C0522336	Eye rolling
C0270996	Eye swelling
C0848383	Eye ulcer
C0578682	Eyebrow loss of
C1536146	Eyelash darkening
C1142111	Eyelash discolouration
C1536145	Eyelash hyperpigmentation
C1142112	Eyelash thickening
C0015423	Eyelid Diseases
C0155216	Eyelid bleeding
C1609496	Eyelid exfoliation
C0854286	Eyelid function disorder
C0549322	Eyelid infection
C1112366	Eyelid irritation
C0948294	Eyelid margin crusting
C1142349	Eyelid pain
C0234665	Eyelid retraction
C0849918	Eyelids pruritus
C0151752	FEMALE LACTATION
C0015459	Facial Injuries
C0015467	Facial Neuralgia
C0015468	Facial Pain
C0427055	Facial Paresis
C0159321	Facial bones fracture
C0542571	Facial edema
C0015469	Facial paralysis
C0239521	Facial rash
C1112303	Facial wasting
C3203356	Factor II deficiency
C0015523	Factor XI Deficiency
C0235315	Faeces discoloured
C0278016	Faeces hard
C0269806	Failed induction of labor
C0015544	Failure to Thrive
C0231246	Failure to gain weight
C0085639	Falls
C0393615	Familial Tremor
C0221032	Familial generalized lipodystrophy
C0577730	Family stress
C0015624	Fanconi Syndrome
C0151638	Fanconi like syndrome
C0341702	Fanconi syndrome acquired
C0015645	Fasciitis
C0149756	Fasciitis, Plantar
C0015663	Fasting
C0920108	Fasting blood glucose increased
C2609269	Fasting hyperglycaemia
C0013928	Fat embolism (disorder)
C0239549	Fat intolerance
C0015668	Fat necrosis
C0856151	Fat redistribution
C0235433	Fat tissue increased
C0231230	Fatigability
C0015672	Fatigue
C0856136	Fatigue aggravated
C0015695	Fatty Liver
C0015726	Fear (Mental Process)
C0009952	Febrile Convulsions
C0746883	Febrile Neutropenia
C1095923	Febrile bone marrow aplasia
C0015734	Fecal Impaction
C0015732	Fecal Incontinence
C0266813	Fecal occult blood: positive
C1321686	Fecaloma
C0857027	Feeling Sick
C1443060	Feeling abnormal
C0233488	Feeling despair
C0522172	Feeling drunk
C0522245	Feeling hot and cold
C0549209	Feeling jittery
C0549385	Feeling of body temperature change
C0522165	Feeling of relaxation
C0859037	Feeling of residual urine
C0235129	Feeling strange
C0424000	Feeling suicidal (finding)
C0235108	Feeling tense
C0855235	Feelings of worthlessness
C0812387	Feels cold
C2939147	Feels hot
C0581879	Felt faint
C0017411	Female Genital Diseases
C0033948	Female Orgasmic Disorder
C0677658	Female breast disorders
C0021361	Female infertility
C0015786	Female sexual arousal disorder
C1112442	Female sexual dysfunction
C0015802	Femoral Fractures
C0015806	Femoral Neck Fractures
C0235520	Femoral artery thrombosis
C0272753	Femur shaft fracture
C0151639	Fertility female decreased
C0151640	Fertility male decreased
C0015914	Fertilization
C0015923	Fetal Alcohol Syndrome
C0015927	Fetal Death
C0015929	Fetal Diseases
C0015930	Fetal Distress
C0015934	Fetal Growth Retardation
C0015944	Fetal Membranes, Premature Rupture
C0239571	Fetor hepaticus
C0015967	Fever
C0085594	Fever chills
C0235839	Fever neonatal
C0015970	Fever of Unknown Origin
C0549284	Fibrillation atrial aggravated
C1295715	Fibrinogen decreased
C0178421	Fibroadenoma of breast
C1305875	Fibroadenosis of breast
C0016053	Fibromyalgia
C0016059	Fibrosis
C2720436	Fibrosis of pleura
C0239946	Fibrosis, Liver
C0234373	Fine Tremor
C0085614	First degree atrioventricular block
C0221245	Fissure in skin
C0221242	Fixed drug eruption
C0151629	Fixed eruption
C0026825	Flaccid Muscle Tone
C0016199	Flank Pain
C0233471	Flat affect
C0429059	Flattened T wave (finding)
C0016204	Flatulence
C0233657	Flight of ideas
C0235131	Floating feeling
C0270971	Floppy infant syndrome
C1735601	Floppy iris syndrome
C0948873	Flu symptoms
C0860434	Fluid and electrolyte imbalance
C0426597	Fluid intake reduced
C0235395	Fluid loss
C0546817	Fluid overload
C0268000	Fluid retention
C0016325	Fluoride Poisoning
C0852203	Fluoride increased
C0016382	Flushing
C0016397	Focal Infection
C0017668	Focal glomerulosclerosis
C0410959	Foetal acidosis
C1739111	Foetal anticonvulsant syndrome
C1535919	Foetal chromosome abnormality
C0854268	Foetal damage
C0016412	Folic Acid Deficiency
C0860499	Follicles conjunctivia
C0221384	Follicular conjunctivitis
C0016436	Folliculitis
C0235014	Fontanelle bulging
C0016470	Food Allergy
C0242784	Food Interactions
C0016479	Food Poisoning
C0877173	Food aversion
C0872380	Food craving
C3665356	Food intolerance (finding)
C0242785	Food-Drug Interactions
C0085119	Foot Ulcer
C0272774	Foot fracture
C0016512	Foot pain
C0016514	Foot-and-Mouth Disease
C0085684	Footdrop
C0016522	Foramen Ovale, Patent
C0016542	Foreign Bodies
C0920171	Foreign body sensation in eyes
C0542476	Forgetfulness
C0016579	Formication
C0476463	Found dead
C0277589	Found dead (cause undetermined)
C0016658	Fracture
C0159658	Fracture of clavicle
C0435630	Fracture of distal end of radius and ulna
C1542178	Fracture of lower leg
C0149531	Fracture of pelvis
C0521169	Fractures, Compression
C0473237	Frank hematuria
C0016689	Freckles
C1096506	Free prostate-specific antigen increased
C1262022	Freezing phenomenon
C0239978	Frequent bowel movements
C0948396	Frequent headaches
C0744221	Friction rub
C0016722	Frigidity
C0311223	Frozen shoulder
C0016770	Frustration
C0235318	Fullness abdominal
C0232807	Function kidney decreased
C0559031	Functional Gastrointestinal Disorders
C0920184	Fundic gland polyp
C0744131	Fungal foot infection
C0401013	Fungal peritonitis
C0848648	Fungal rash
C0744235	Fungal sepsis
C1167761	Fungal test positive
C0085082	Fungemia
C1096732	Fungus sputum test positive
C0016867	Furunculosis
C0541974	Fuzzy head
C0016927	Gagging
C0751837	Gait Ataxia
C0575081	Gait abnormality
C0231694	Gait, Festinating
C0231688	Gait, Shuffling
C0231686	Gait, Unsteady
C0235660	Galactorrhea not associated with childbirth
C0016977	Gall Bladder Diseases
C0262493	Gallbladder polyp
C0860209	Gallbladder sludge
C0232200	Gallop rhythm
C0030662	Gambling, Pathological
C0151669	Gamma globulins increased
C0151662	Gamma-glutamyltransferase increased
C0151666	Gammaglobulins decreased
C0017086	Gangrene
C0854456	Gangrenous cellulitis
C0262494	Gangrenous cholecystitis
C0017105	Gas Gangrene
C0541976	Gas in stomach
C0476289	Gas pain
C0425449	Gasping for breath
C0038353	Gastric Dilatation
C0341177	Gastric erosions
C0277525	Gastric flu
C0235325	Gastric hemorrhage
C0392176	Gastric irritation
C1168034	Gastric pH decreased
C0038358	Gastric ulcer
C0948036	Gastric ulcer helicobacter
C0341163	Gastric ulcer perforation
C0017150	Gastrinoma
C0017152	Gastritis
C0549277	Gastritis aggravated
C0563238	Gastritis viral
C0267166	Gastroduodenitis
C0017160	Gastroenteritis
C0343361	Gastroenteritis adenovirus
C0558348	Gastroenteritis bacterial
C0853198	Gastroenteritis yersinia
C0017168	Gastroesophageal reflux disease
C0392034	Gastroesophagitis
C0017178	Gastrointestinal Diseases
C0017181	Gastrointestinal Hemorrhage
C0017185	Gastrointestinal Neoplasms
C0238198	Gastrointestinal Stromal Tumors
C0343886	Gastrointestinal candidiasis
C0151544	Gastrointestinal carcinoma
C0877664	Gastrointestinal cramps
C1096250	Gastrointestinal discomfort
C0341212	Gastrointestinal fistula
C0858217	Gastrointestinal fullness
C0729549	Gastrointestinal fungal infection
C0948395	Gastrointestinal hypermotility
C0948779	Gastrointestinal hypomotility
C1264613	Gastrointestinal infection
C1535950	Gastrointestinal inflammation
C0854121	Gastrointestinal motility disorder
C0852925	Gastrointestinal necrosis
C0236124	Gastrointestinal obstruction
C0687713	Gastrointestinal pain
C0151664	Gastrointestinal perforation
C1963818	Gastrointestinal sounds abnormal
C1696157	Gastrointestinal stoma complication
C1142499	Gastrointestinal toxicity
C2697368	Gastrointestinal tract irritation
C0237938	Gastrointestinal ulcer
C1112525	Gastrointestinal ulcer haemorrhage
C0858346	Gastrointestinal ulcer perforation
C1328327	Gastrooesophageal sphincter insufficiency
C0152020	Gastroparesis
C1112261	Gaze palsy
C0858924	General discomfort
C0877211	General physical health deterioration
C0159028	General symptom
C0427108	General unsteadiness
C0849916	Generalised erythema
C0270549	Generalized Anxiety Disorder
C0151911	Generalized Spasms
C0281856	Generalized aches and pains
C0857370	Generalized flushing
C0476486	Generalized lymphadenopathy
C0857083	Generalized macular rash
C0234533	Generalized seizures
C0750016	Generalized urticaria
C0032529	Genetic Polymorphism
C0017412	Genital Diseases, Male
C0019342	Genital Herpes
C1096300	Genital burning sensation
C0343863	Genital candidiasis
C1112274	Genital discharge
C1868730	Genital discomfort
C0854381	Genital hemorrhage
C2609096	Genital hypoaesthesia
C0729552	Genital infection
C0740330	Genital infection fungal
C0564768	Genital infection male
C1868893	Genital irritation
C0521634	Genital itching female
C0744369	Genital lesion
C0239725	Genital pain
C0458104	Genital pain male
C0239729	Genital rash
C1963789	Genital swelling
C0151281	Genital ulceration
C0042065	Genitourinary Neoplasms
C0589616	Genitourinary chlamydia infection
C1279247	Genitourinary tract infection
C0017551	Gilbert Disease (disorder)
C0040517	Gilles de la Tourette syndrome
C0017563	Gingival Diseases
C0017565	Gingival Hemorrhage
C0017566	Gingival Hyperplasia
C0017567	Gingival Hypertrophy
C0017572	Gingival Recession
C0877639	Gingival blister
C0239735	Gingival erythema
C0744403	Gingival infection
C0277986	Gingival oedema
C0235324	Gingival swelling
C0392378	Gingival ulceration
C0017574	Gingivitis
C0149704	Gingivostomatitis
C1142017	Glabellar reflex abnormal
C0017601	Glaucoma
C0857112	Glaucoma both eyes
C0017636	Glioblastoma
C1621958	Glioblastoma Multiforme
C0017638	Glioma
C0151665	Globulins decreased
C0017650	Globus Hystericus
C0853068	Glomerular filtration rate decreased
C0017657	Glomerulitis
C0017658	Glomerulonephritis
C0221239	Glomerulonephritis rapidly progressive
C0017662	Glomerulonephritis, Membranoproliferative
C1704320	Glomerulonephritis, Minimal Change
C0017672	Glossalgia
C0017675	Glossitis
C0017677	Glossitis, Benign Migratory
C0264315	Glottic edema
C0852696	Glucocorticoids decreased
C1704381	Glucose decreased
C0860803	Glucose increased
C0860801	Glucose low
C0235401	Glucose tolerance abnormal
C0151671	Glucose tolerance decreased
C0863147	Glucose urine increased
C0017979	Glycosuria
C0855304	Glycosylated haemoglobin decreased
C0239940	Glycosylated haemoglobin increased
C0018021	Goiter
C0151680	Gonadotropic luteinizing hormone increased
C0151673	Gonadotropins NOS low
C0018081	Gonorrhea
C0018099	Gout
C2062908	Gout acute
C2712871	Gout attack
C1619733	Gout flare
C0018128	Graft Occlusion, Vascular
C0018129	Graft Rejection
C0274312	Graft complication
C1167870	Graft dysfunction
C1262018	Graft failure
C0877042	Graft loss
C0919939	Graft thrombosis
C0018134	Graft vs Host Reaction
C0018133	Graft-vs-Host Disease
C0085423	Gram-Negative Bacterial Infections
C1282609	Granulocytosis
C0018188	Granuloma
C0085074	Granuloma Annulare
C0151684	Granuloma skin
C3495801	Granulomatosis with polyangiitis
C0860210	Granulomatous liver disease
C0018213	Graves Disease
C0235437	Gravitational oedema
C0270276	Grey syndrome neonatal
C0239779	Grimacing
C0861171	Gritty feeling in eyes
C0239783	Groin pain
C0860516	Ground glass appearance
C0348801	Group B streptococcal pneumonia
C0151685	Growth accelerated
C0271547	Growth hormone overproduction
C0423847	Growth of eyelashes
C0151686	Growth retardation
C0018378	Guillain-Barre Syndrome
C0018418	Gynecomastia
C1698259	HCV coinfection
C2938903	HDL cholesterol increased
C0019693	HIV Infections
C0481430	HIV negative finding
C0854048	HIV test negative
C0235753	Haemangioma congenital
C1112712	Haematology test abnormal
C0920103	Haematotoxicity
C0948268	Haemodynamic instability
C0162119	Haemoglobin decreased
C0474529	Haemoglobin normal
C0235573	Haemoglobinaemia
C0684275	Haemophilia
C0854107	Haemorrhage subcutaneous
C0235620	Haemorrhage urinary tract
C2242494	Haemorrhagic erosive gastritis
C0473311	Haemorrhagic ovarian cyst
C1167785	Haemorrhagic urticaria
C0265031	Haemorrhoidal haemorrhage
C0018500	Hair Diseases
C0474378	Hair color change (finding)
C0151689	Hair discoloration
C0232409	Hair growth abnormal
C0235807	Hair texture abnormal
C0040414	Hairy tongue
C0018520	Halitosis
C0018524	Hallucinations
C0233762	Hallucinations, Auditory
C0233773	Hallucinations, Hypnagogic
C0233767	Hallucinations, Tactile
C0233763	Hallucinations, Visual
C0855223	Hallucinations, mixed
C0422974	Halo vision
C0018552	Hamartoma
C0085786	Hamman-Rich syndrome
C0239816	Hand dermatitis
C0435632	Hand fracture
C0239833	Hand pain
C0857117	Hand rash
C0575810	Hands weakness of
C0221100	Hangover from any Alcohol or Other Drugs substance
C0236061	Haptoglobin increased
C2242996	Has tingling sensation
C0018621	Hay fever
C0235002	Head discomfort
C1141884	Head lag abnormal
C0235004	Head pressure
C1608410	Head titubation
C0018681	Headache
C0876980	Headache aggravated
C0239885	Headache dull
C0856864	Headache fullness
C0857361	Headache occurring
C0018780	Hearing Loss, High-Frequency
C0018772	Hearing Loss, Partial
C0011057	Hearing Loss, Sudden
C0260662	Hearing problem
C0018794	Heart Block
C1961112	Heart Decompensation
C0018799	Heart Diseases
C0235527	Heart Failure, Right-Sided
C0018811	Heart Rate, Fetal
C0018816	Heart Septal Defects
C0919661	Heart alternation
C0018801	Heart failure
C0018808	Heart murmur
C1868917	Heart racing
C1744601	Heart rate abnormal
C0577822	Heart sounds abnormal
C0018824	Heart valve disease
C0018834	Heartburn
C0018839	Heat Exhaustion
C0018843	Heat Stroke
C0234193	Heat sensation
C0235721	Heaviness in limbs
C0850001	Heaviness of head
C0158322	Heel Spur
C0079487	Helicobacter Infections
C0343378	Helicobacter gastritis
C0018916	Hemangioma
C0856897	Hemangioma acquired
C0018924	Hemarthrosis
C0018926	Hematemesis
C0018932	Hematochezia
C0744727	Hematocrit decreased
C0239935	Hematocrit increased
C0376545	Hematologic Neoplasms
C0018939	Hematological Disease
C0018944	Hematoma
C0238154	Hematoma, Epidural, Cranial
C0877172	Hematoma, Epidural, Spinal
C0018946	Hematoma, Subdural
C0018949	Hematomyelia
C0018965	Hematuria
C0221752	Hematuria present
C0018975	Hemeralopia
C0018979	Hemianopsia
C0018987	Hemimelia
C0018989	Hemiparesis
C0457436	Hemiparesis (left)
C0018991	Hemiplegia
C0521662	Hemiplegia, Transient
C0018995	Hemochromatosis
C0549448	Hemoglobin increased
C0518015	Hemoglobin measurement
C0019048	Hemoglobinuria
C0019054	Hemolysis (disorder)
C0235575	Hemolytic reaction
C0019061	Hemolytic-Uremic Syndrome
C0019064	Hemopericardium
C0019065	Hemoperitoneum
C0019069	Hemophilia A
C0019079	Hemoptysis
C0019080	Hemorrhage
C0741553	Hemorrhage abnormal
C0151694	Hemorrhage of colon
C0392175	Hemorrhage of kidney
C0235912	Hemorrhage of liver
C0241558	Hemorrhage of urethra
C0858540	Hemorrhage symptom
C0019087	Hemorrhagic Disorders
C0151565	Hemorrhagic colitis
C0269596	Hemorrhagic complication of pregnancy
C0341245	Hemorrhagic duodenitis
C2010560	Hemorrhagic gastritis
C0019112	Hemorrhoids
C0856099	Hemorrhoids aggravated
C0149707	Hemospermia
C0019123	Hemothorax
C0034152	Henoch-Schoenlein Purpura
C0272285	Heparin-induced thrombocytopenia
C0019147	Hepatic Coma
C0019151	Hepatic Encephalopathy
C1306571	Hepatic Insufficiency
C0019156	Hepatic Veno-Occlusive Disease
C0541760	Hepatic adenoma
C0345907	Hepatic angiosarcoma
C0392106	Hepatic artery thrombosis
C0391996	Hepatic atrophy
C0856554	Hepatic cancer metastatic
C0267821	Hepatic congestion
C0267834	Hepatic cyst
C1261989	Hepatic enzyme decreased
C0235996	Hepatic enzyme increased
C0745754	Hepatic granuloma
C0948807	Hepatic impairment
C1611157	Hepatic infiltration eosinophilic
C1112746	Hepatic lymphoma
C0268621	Hepatic methionine adenosyltransferase deficiency
C0151798	Hepatic necrosis
C1142158	Hepatic vein occlusion
C0019158	Hepatitis
C0019159	Hepatitis A
C0019163	Hepatitis B
C0392390	Hepatitis B e antigen positive
C1142420	Hepatitis B reactivation
C0524909	Hepatitis B, Chronic
C0019196	Hepatitis C
C0281863	Hepatitis C antibody positive
C0854495	Hepatitis F
C0267797	Hepatitis acute
C0856105	Hepatitis aggravated
C0149904	Hepatitis cholestatic
C0302809	Hepatitis fulminant
C0235369	Hepatitis granulomatous
C0858814	Hepatitis symptom
C0019187	Hepatitis, Alcoholic
C0241910	Hepatitis, Autoimmune
C0019189	Hepatitis, Chronic
C1262760	Hepatitis, Drug-Induced
C0019193	Hepatitis, Toxic
C0267792	Hepatobiliary disease
C0206624	Hepatoblastoma
C0206669	Hepatocellular Adenoma
C0019209	Hepatomegaly
C0019212	Hepatorenal Syndrome
C1333984	Hepatosplenic T-cell lymphoma
C0019214	Hepatosplenomegaly
C0235378	Hepatotoxicity
C0016751	Hereditary fructose intolerance syndrome
C0221348	Hereditary lymphedema and yellow nails
C0019270	Hernia
C0178282	Hernia of abdominal cavity
C0877134	Hernia pain
C0019294	Hernia, Inguinal
C0019338	Herpangina
C0019340	Herpes
C0019345	Herpes Labialis
C0019348	Herpes Simplex Infections
C0019364	Herpes Zoster Ophthalmicus
C1262170	Herpes dermatitis
C0276226	Herpes encephalitis
C0854331	Herpes simplex dermatitis
C1963747	Herpes simplex hepatitis
C0019360	Herpes zoster disease
C0019372	Herpesviridae Infections
C0019385	Herpetic meningoencephalitis
C0029396	Heterotopic Ossification
C0342882	Heterozygous familial hypercholesterolemia
C3489393	Hiatal Hernia
C0019521	Hiccup
C0085160	Hidradenitis
C0151691	High density lipoprotein decreased
C0853084	High density lipoprotein increased
C1262165	High turnover osteopathy
C0019555	Hip Dislocation, Congenital
C1328407	Hip Dysplasia
C0019557	Hip Fractures
C0019569	Hirschsprung Disease
C0019572	Hirsutism
C0019618	Histiocytosis
C0876991	Histiocytosis haematophagic
C0019621	Histiocytosis, Langerhans-Cell
C0019655	Histoplasmosis
C0019825	Hoarseness
C0019829	Hodgkin Disease
C0152267	Hodgkin lymphoma, lymphocyte depletion
C1167750	Hoigne's syndrome
C0455204	Homicidal ideation
C0019880	Homocystinuria
C0342881	Homozygous familial hypercholesterolaemia
C0019917	Hordeolum
C0151477	Hormone level abnormal
C0019937	Horner Syndrome
C0020039	Hostility
C0549363	Hot dry skin
C0600142	Hot flushes
C0339807	House dust allergy
C0854530	Human herpesvirus 6 infection
C0458074	Human immunodeficiency virus (HIV) status
C1321876	Human immunodeficiency virus test
C0020162	Humeral Fractures
C0149911	Humoral hypercalcemia of malignancy (disorder)
C0020175	Hunger
C0235119	Hunger abnormal
C1253936	Hydrarthrosis
C0020255	Hydrocephalus
C0020295	Hydronephrosis
C0020302	Hydrophthalmos
C0020305	Hydrops Fetalis
C0020312	Hydrothorax
C0152436	Hymen, Imperforate
C0424295	Hyperactive behavior
C0034880	Hyperacusis
C1142113	Hyperalbuminemia
C0020429	Hyperalgesia
C0220994	Hyperammonemia
C0268543	Hyperammonemia, type III
C0221773	Hyperamylasemia
C0020433	Hyperbilirubinemia
C0235851	Hyperbilirubinemia aggravated
C0020437	Hypercalcemia
C0020438	Hypercalciuria
C0020440	Hypercapnia
C0085679	Hyperchloraemia
C0151713	Hyperchlorhydria
C0020443	Hypercholesterolemia
C0856108	Hypercholesterolemia aggravated
C1522133	Hypercholesterolemia result
C0542027	Hypercoagulation
C0020452	Hyperemia
C0745091	Hypereosinophilia
C0020453	Hyperesthesia
C0856984	Hyperexcitability Behavior
C0231451	Hyperextension
C0919890	Hyperfibrinogenaemia
C0020455	Hypergammaglobulinemia
C0020456	Hyperglycemia
C0020457	Hyperglycemic Hyperosmolar Nonketotic Coma
C0235847	Hyperhemoglobinemia
C0020458	Hyperhidrosis disorder
C0020459	Hyperinsulinism
C0020461	Hyperkalemia
C0870082	Hyperkeratosis
C0795692	Hyperlactacidaemia
C0020473	Hyperlipidemia
C0745103	Hyperlipoproteinemia Type IIa
C0151714	Hypermagnesemia
C0020488	Hypernatremia
C0020492	Hyperostosis
C0020498	Hyperostosis, Diffuse Idiopathic Skeletal
C0020502	Hyperparathyroidism
C0221002	Hyperparathyroidism, Primary
C0020503	Hyperparathyroidism, Secondary
C0020505	Hyperphagia
C0751436	Hyperphenylalaninemia, Non-Phenylketonuric
C0085681	Hyperphosphatemia (disorder)
C0162834	Hyperpigmentation
C0020507	Hyperplasia
C0014800	Hyperplasia erythroid
C0220854	Hyperpnea
C0020514	Hyperprolactinemia
C0267988	Hyperproteinaemia
C0392676	Hyperpyrexia
C0151889	Hyperreflexia
C0235006	Hypersensation skin
C0543698	Hypersensitive syndrome
C0020517	Hypersensitivity
C0312420	Hypersexuality
C0917799	Hypersomnia
C0020532	Hypersplenism
C0221154	Hypertension paroxysmal
C0235750	Hypertension worsened
C0020541	Hypertension, Portal
C0020545	Hypertension, Renovascular
C0857121	Hypertensive (finding)
C0151620	Hypertensive Encephalopathy
C0020546	Hypertensive crisis
C0020538	Hypertensive disease
C0520539	Hypertensive episode
C0020550	Hyperthyroidism
C0235396	Hypertonicity
C2242708	Hypertransaminasaemia
C0020555	Hypertrichosis
C0020557	Hypertriglyceridemia
C0007194	Hypertrophic Cardiomyopathy
C0178703	Hypertrophic osteoarthropathy
C0020564	Hypertrophy
C0020565	Hypertrophy of Breast
C0272386	Hypertrophy of tonsils
C0740394	Hyperuricemia
C0948643	Hyperuricosuria
C0020578	Hyperventilation
C0235013	Hypervigilance
C0221030	Hyperviscosity syndrome
C0020579	Hypervitaminosis A
C1442839	Hypervitaminosis D
C0020580	Hypesthesia
C0020581	Hyphema
C1696943	Hypoaesthesia facial
C0521592	Hypoaesthesia oral
C0239981	Hypoalbuminemia
C0085625	Hypoalgesia
C0020598	Hypocalcemia
C0151940	Hypocalcemic tetany
C0020599	Hypocalciuria
C0085383	Hypocapnia
C0085680	Hypochloremia (disorder)
C0151718	Hypocholesterolemia
C0020604	Hypochondriasis
C0002884	Hypochromic anemia
C0854097	Hypoesthesia eye
C2939427	Hypoesthesia tongue
C0553681	Hypofibrinogenemia
C0086438	Hypogammaglobulinemia
C0151934	Hypogeusia
C0158986	Hypoglycaemia neonatal
C0745153	Hypoglycaemic episode
C0877056	Hypoglycaemic seizure
C1737211	Hypoglycaemic unconsciousness
C0020615	Hypoglycemia
C0020617	Hypoglycemic coma
C0020619	Hypogonadism
C0271623	Hypogonadotropic hypogonadism
C0020620	Hypohidrosis
C0020621	Hypokalemia
C0085570	Hypokalemic alkalosis
C0086439	Hypokinesia
C0342892	Hypolipidaemia
C0151723	Hypomagnesaemia
C0241934	Hypomania
C0020624	Hypomenorrhea
C0857122	Hyponatraemic
C0020625	Hyponatremia
C0020626	Hypoparathyroidism
C0442856	Hypoperfusion
C1504561	Hypophagia
C0085682	Hypophosphatemia
C0162835	Hypopigmentation disorder
C0020635	Hypopituitarism
C0542035	Hypoplasia erythroid
C0178416	Hypoplastic anemia
C0235546	Hypopnoea
C0020639	Hypoproteinemia
C0151888	Hyporeflexia
C2364082	Hyposmia
C0232831	Hyposthenuria
C0020649	Hypotension
C0740481	Hypotension asymptomatic
C0740482	Hypotension orthostatic symptomatic
C0863113	Hypotension symptomatic
C0020651	Hypotension, Orthostatic
C0857353	Hypotensive
C0413252	Hypothermia due to exposure
C0020672	Hypothermia, natural
C1142523	Hypothrombinaemia
C0020676	Hypothyroidism
C0152159	Hypotonic uterine inertia
C0020678	Hypotrichosis
C0221333	Hypouricaemia
C3203358	Hypoventilation
C0546884	Hypovolemia
C0020683	Hypovolemic Shock
C0700292	Hypoxemia
C0242184	Hypoxia
C1140716	Hypoxic Brain Damage
C0020701	Hysteria
C0236167	INTRA-UTERINE DEVICE COMPLICATION
C0020757	Ichthyoses
C0265962	Ichthyosis linearis circumflexa
C0022346	Icterus
C1800706	Idiopathic Pulmonary Fibrosis
C2243088	Idiopathic erosive/hemorrhagic gastritis
C0700053	Idiopathic hypertrophic subaortic stenosis
C1504431	Idiopathic pneumonia syndrome
C0152171	Idiopathic pulmonary hypertension
C0920163	Idiopathic thrombocytopenia
C0919578	Idiosyncratic drug reaction
C0700363	Idioventricular rhythm
C0520564	Ileal ulcer
C0020877	Ileitis
C1258215	Ileus
C2047937	Ill-defined disorder
C0221423	Illness (finding)
C0020903	Illusions
C0020523	Immediate hypersensitivity
C0231441	Immobile
C0021053	Immune System Diseases
C3267047	Immune-mediated necrotising myopathy
C0020964	Immunity
C0085393	Immunocompromised Host
C0239987	Immunoglobulin G low
C0151728	Immunoglobulins decreased
C0151729	Immunoglobulins increased
C0021051	Immunologic Deficiency Syndromes
C0021061	Immunologic Tests
C0948257	Immunosuppressant drug level increased
C0021092	Impacted cerumen
C0338656	Impaired cognition
C0522063	Impaired gastric emptying
C0271650	Impaired glucose tolerance
C0151692	Impaired healing
C0238707	Impairment of attention
C0919568	Impatience
C0021099	Impetigo
C0854466	Implant expulsion
C0588128	Implant infection
C1504452	Implant site pain
C0521510	Implant site reaction
C0235895	Implantation complication
C0021122	Impulse Control Disorders
C0021141	Inappropriate ADH Syndrome
C0233467	Inappropriate affect
C2363809	Incessant ventricular tachycardia
C1142172	Incision site complication
C1168175	Incision site haematoma
C0919882	Incision site haemorrhage
C1698400	Incision site oedema
C1142257	Incision site pain
C0267716	Incisional hernia
C0542044	Incoherent
C0812470	Incomplete abortion unspecified
C0344365	Incomplete bladder emptying
C0854210	Incomplete precocious puberty
C0021167	Incontinence
C0497247	Increase in blood pressure
C0021177	Increased Libido
C0858249	Increased agitation
C0232461	Increased appetite (finding)
